iter	Passed	Remaining
0	11	11530
1	22	11115
2	32	10802
3	46	11464
4	56	11145
5	66	11092
6	78	11159
7	92	11431
8	103	11398
9	113	11244
10	124	11211
11	134	11073
12	145	11084
13	158	11186
14	168	11072
15	179	11040
16	189	10930
17	199	10863
18	208	10783
19	219	10756
20	230	10723
21	241	10746
22	251	10691
23	263	10698
24	272	10617
25	284	10646
26	294	10621
27	306	10636
28	318	10659
29	328	10625
30	338	10574
31	350	10589
32	362	10615
33	373	10623
34	384	10609
35	394	10557
36	407	10596
37	418	10595
38	427	10540
39	439	10540
40	448	10494
41	460	10492
42	469	10458
43	486	10579
44	497	10551
45	508	10544
46	517	10496
47	529	10505
48	540	10489
49	550	10463
50	560	10437
51	571	10412
52	580	10380
53	591	10354
54	601	10338
55	612	10322
56	622	10305
57	634	10303
58	644	10274
59	653	10237
60	664	10227
61	674	10205
62	684	10177
63	695	10166
64	707	10176
65	718	10163
66	728	10141
67	737	10113
68	748	10092
69	758	10071
70	768	10059
71	778	10039
72	788	10017
73	798	9988
74	808	9973
75	818	9957
76	830	9950
77	841	9950
78	851	9922
79	860	9900
80	870	9880
81	880	9851
82	890	9841
83	901	9829
84	910	9803
85	920	9782
86	930	9766
87	942	9771
88	951	9742
89	962	9729
90	971	9709
91	984	9713
92	995	9712
93	1008	9719
94	1017	9696
95	1028	9684
96	1038	9665
97	1047	9644
98	1057	9623
99	1069	9624
100	1079	9607
101	1089	9593
102	1099	9574
103	1109	9558
104	1118	9537
105	1132	9552
106	1143	9542
107	1153	9523
108	1163	9511
109	1172	9490
110	1183	9478
111	1193	9460
112	1204	9453
113	1216	9451
114	1226	9441
115	1236	9423
116	1246	9409
117	1256	9392
118	1266	9373
119	1275	9353
120	1287	9349
121	1297	9339
122	1308	9331
123	1320	9325
124	1329	9303
125	1338	9284
126	1347	9262
127	1357	9246
128	1366	9224
129	1376	9210
130	1388	9211
131	1398	9194
132	1407	9177
133	1423	9199
134	1435	9199
135	1445	9180
136	1455	9170
137	1467	9168
138	1479	9164
139	1488	9145
140	1500	9140
141	1511	9132
142	1520	9115
143	1531	9105
144	1546	9120
145	1556	9106
146	1566	9087
147	1576	9073
148	1587	9066
149	1600	9067
150	1612	9065
151	1621	9048
152	1633	9040
153	1642	9023
154	1652	9010
155	1663	8997
156	1672	8978
157	1682	8963
158	1691	8946
159	1700	8928
160	1710	8915
161	1721	8906
162	1733	8898
163	1742	8880
164	1750	8859
165	1759	8840
166	1769	8825
167	1779	8812
168	1788	8795
169	1800	8790
170	1814	8795
171	1823	8780
172	1835	8774
173	1845	8760
174	1854	8743
175	1865	8731
176	1874	8717
177	1884	8702
178	1893	8686
179	1905	8679
180	1914	8663
181	1926	8657
182	1935	8638
183	1943	8619
184	1954	8612
185	1964	8598
186	1973	8580
187	1983	8565
188	1993	8553
189	2008	8562
190	2018	8550
191	2027	8532
192	2037	8518
193	2047	8505
194	2056	8490
195	2068	8483
196	2079	8477
197	2090	8466
198	2100	8453
199	2110	8443
200	2121	8431
201	2134	8434
202	2143	8416
203	2155	8411
204	2167	8406
205	2178	8395
206	2190	8390
207	2200	8377
208	2211	8370
209	2220	8353
210	2229	8337
211	2238	8322
212	2250	8315
213	2259	8299
214	2269	8284
215	2281	8280
216	2291	8268
217	2302	8258
218	2311	8243
219	2322	8235
220	2333	8223
221	2343	8211
222	2351	8194
223	2362	8182
224	2372	8171
225	2383	8161
226	2392	8146
227	2404	8141
228	2414	8127
229	2424	8116
230	2434	8103
231	2444	8090
232	2453	8076
233	2463	8065
234	2475	8058
235	2486	8050
236	2496	8037
237	2505	8022
238	2514	8007
239	2525	7998
240	2537	7990
241	2546	7976
242	2555	7962
243	2565	7948
244	2574	7934
245	2586	7927
246	2595	7912
247	2607	7906
248	2616	7892
249	2626	7880
250	2638	7874
251	2651	7869
252	2660	7854
253	2669	7839
254	2678	7825
255	2687	7811
